iter	Passed	Remaining
0	140	42093
1	232	34684
2	319	31678
3	408	30240
4	503	29704
5	596	29231
6	689	28852
7	779	28461
8	872	28219
9	970	28146
10	1060	27858
11	1148	27562
12	1235	27285
13	1339	27358
14	1429	27155
15	1526	27097
16	1610	26812
17	1694	26549
18	1787	26431
19	1879	26310
20	1970	26176
21	2057	25999
22	2147	25867
23	2234	25693
24	2319	25512
25	2407	25374
26	2493	25212
27	2578	25047
28	2661	24873
29	2751	24767
30	2838	24628
31	2921	24466
32	3006	24329
33	3095	24219
34	3184	24113
35	3269	23978
36	3355	23851
37	3444	23746
38	3532	23639
39	3619	23524
40	3700	23373
41	3787	23263
42	3875	23162
43	3959	23036
44	4052	22962
45	4140	22862
46	4226	22752
47	4312	22641
48	4403	22558
49	4488	22444
50	4573	22330
51	4656	22206
52	4737	22077
53	4823	21972
54	4912	21884
55	4997	21774
56	5090	21699
57	5177	21604
58	5268	21518
59	5352	21409
60	5436	21299
61	5524	21205
62	5608	21097
63	5699	21017
64	5780	20898
65	5860	20779
66	5958	20723
67	6048	20636
68	6136	20543
69	6227	20461
70	6314	20366
71	6404	20279
72	6492	20190
73	6576	20083
74	6661	19983
75	6744	19879
76	6830	19783
77	6919	19692
78	7008	19606
79	7118	19575
80	7216	19512
81	7311	19437
82	7400	19349
83	7485	19248
84	7575	19161
85	7664	19073
86	7754	18985
87	7842	18892
88	7927	18794
89	8013	18698
90	8101	18606
91	8186	18507
92	8274	18417
93	8361	18324
94	8445	18225
95	8533	18134
96	8621	18042
97	8707	17947
98	8790	17847
99	8882	17765
100	8970	17673
101	9058	17584
102	9146	17493
103	9235	17405
104	9323	17314
105	9409	17221
106	9495	17128
107	9578	17027
108	9668	16942
109	9768	16872
110	9859	16787
111	9959	16717
112	10050	16631
113	10142	16548
114	10231	16458
115	10318	16367
116	10405	16275
117	10489	16178
118	10576	16087
119	10662	15993
120	10773	15938
121	10860	15845
122	10951	15759
123	11037	15666
124	11121	15570
125	11203	15471
126	11292	15382
127	11382	15295
128	11470	15204
129	11556	15111
130	11639	15016
131	11720	14917
132	11805	14823
133	11896	14737
134	11985	14649
135	12073	14559
136	12161	14469
137	12244	14374
138	12336	14288
139	12425	14200
140	12512	14109
141	12595	14014
142	12683	13925
143	12768	13832
144	12853	13739
145	12943	13653
146	13031	13563
147	13115	13469
148	13195	13372
149	13282	13282
150	13370	13193
151	13466	13112
152	13556	13025
153	13641	12932
154	13733	12847
155	13821	12758
156	13908	12668
157	13994	12577
158	14079	12485
159	14170	12399
160	14258	12309
161	14341	12217
162	14426	12125
163	14511	12033
164	14598	11944
165	14682	11852
166	14773	11765
167	14863	11678
168	14945	11584
169	15033	11496
170	15123	11408
171	15213	11321
172	15300	11232
173	15394	11148
174	15492	11065
175	15580	10977
176	15674	10892
177	15762	10803
178	15851	10715
179	15936	10624
180	16019	10532
181	16105	10442
182	16187	10349
183	16272	10258
184	16358	10168
185	16441	10077
186	16526	9986
187	16609	9895
188	16696	9806
189	16781	9715
190	16869	9626
191	16967	9544
192	17054	9455
193	17134	9361
194	17212	9268
195	17297	9178
196	17378	9086
197	17458	8993
198	17538	8901
199	17619	8809
200	17695	8715
201	17770	8621
202	17860	8534
203	17950	8447
204	18032	8356
205	18111	8264
206	18192	8173
207	18273	8082
208	18351	7990
209	18455	7909
210	18530	7816
211	18607	7723
212	18687	7632
213	18770	7543
214	18850	7452
215	18932	7362
216	19014	7272
217	19095	7182
218	19177	7092
219	19266	7005
220	19341	6914
221	19418	6822
222	19494	6731
223	19575	6641
224	19660	6553
225	19741	6464
226	19822	6374
227	19897	6283
228	19970	6191
229	20046	6101
230	20123	6011
231	20199	5920
232	20276	5830
233	20356	5741
234	20430	5651
235	20505	5560
236	20580	5470
237	20655	5380
238	20731	5291
239	20808	5202
240	20886	5113
241	20966	5024
242	21050	4937
243	21127	4848
244	21213	4762
245	21296	4674
246	21376	4586
247	21457	4499
248	21562	4416
249	21662	4332
250	21765	4249
251	21866	4165
252	21968	4081
253	22074	3997
254	22186	3915
255	22290	3831
256	22388	3745
257	22484	3660
258	22585	3575
259	22683	3489
260	22770	3402
261	22859	3315
262	22956	3229
263	23047	3142
264	23132	3055
265	23222	2968
266	23308	2880
267	23396	2793
268	23482	2706
269	23572	2619
270	23662	2532
271	23752	2445
272	23835	2357
273	23923	2270
274	24009	2182
275	24095	2095
276	24180	2007
277	24263	1920
278	24354	1833
279	24438	1745
280	24530	1658
281	24616	1571
282	24705	1484
283	24795	1396
284	24880	1309
285	24972	1222
286	25054	1134
287	25142	1047
288	25231	960
289	25321	873
290	25407	785
291	25495	698
292	25583	611
293	25671	523
294	25756	436
295	25845	349
296	25937	261
297	26026	174
298	26112	87
299	26200	0
